/mnt/nvme0/home/gxr/Myhash_boc/Hash_rt/build/hash_rt --num_threads_client=1 --num_threads_worker=8 --str_key_size=8 --str_value_size=100 --num_ops=5000000 --first_mode=true --work_usec=0 --batch_size=80
Init time:496131921
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 230
Exchange duration: 210
Exchange duration: 200
Exchange duration: 350
Exchange duration: 290
Exchange duration: 120
Exchange duration: 310
Exchange duration: 220
Exchange duration: 220
Exchange duration: 260
Exchange duration: 220
Exchange duration: 200
Exchange duration: 330
Exchange duration: 240
Exchange duration: 240
Exchange duration: 220
Exchange duration: 250
Exchange duration: 130
Exchange duration: 210
Exchange duration: 220
Exchange duration: 240
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 340
Exchange duration: 200
Exchange duration: 230
Exchange duration: 230
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 220
Exchange duration: 300
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 230
Exchange duration: 250
Exchange duration: 210
Exchange duration: 240
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 220
Exchange duration: 260
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 260
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 260
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 210
Exchange duration: 270
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 200
Exchange duration: 240
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 270
Exchange duration: 230
Exchange duration: 250
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 230
Exchange duration: 200
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 300
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 250
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 260
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 220
Exchange duration: 230
Exchange duration: 210
Exchange duration: 230
Exchange duration: 300
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 230
Exchange duration: 220
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 240
Exchange duration: 240
Exchange duration: 130
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 250
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 230
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 400
Exchange duration: 220
Exchange duration: 240
Exchange duration: 250
Exchange duration: 280
Exchange duration: 220
Exchange duration: 200
Exchange duration: 250
Exchange duration: 190
Exchange duration: 200
Exchange duration: 240
Exchange duration: 209
Exchange duration: 290
Exchange duration: 200
Exchange duration: 270
Exchange duration: 300
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 310
Exchange duration: 230
Exchange duration: 230
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 230
Exchange duration: 230
Exchange duration: 240
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 190
Exchange duration: 210
Exchange duration: 230
Exchange duration: 300
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 240
Exchange duration: 240
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 240
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 150
Exchange duration: 240
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 190
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 150
Exchange duration: 230
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 240
Exchange duration: 230
Exchange duration: 200
Exchange duration: 230
Exchange duration: 210
Exchange duration: 290
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 230
Exchange duration: 200
Exchange duration: 240
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 250
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 240
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 230
Exchange duration: 190
Exchange duration: 200
Exchange duration: 200
Exchange duration: 240
Exchange duration: 200
Exchange duration: 230
Exchange duration: 370
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 120
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 120
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 480
Exchange duration: 210
Exchange duration: 230
Exchange duration: 230
Exchange duration: 400
Exchange duration: 200
Exchange duration: 240
Exchange duration: 420
Exchange duration: 220
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 260
Exchange duration: 210
Exchange duration: 320
Exchange duration: 210
Exchange duration: 220
Exchange duration: 260
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 250
Exchange duration: 200
Exchange duration: 200
Exchange duration: 130
Exchange duration: 200
Exchange duration: 210
Exchange duration: 230
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 330
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 420
Exchange duration: 210
Exchange duration: 200
Exchange duration: 430
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 130
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 390
Exchange duration: 220
Exchange duration: 210
Exchange duration: 110
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 330
Exchange duration: 210
Exchange duration: 230
Exchange duration: 130
Exchange duration: 200
Exchange duration: 190
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 240
Exchange duration: 240
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 130
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 240
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 230
Exchange duration: 200
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 220
Exchange duration: 250
Exchange duration: 200
Exchange duration: 240
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 250
Exchange duration: 200
Exchange duration: 200
Exchange duration: 240
Exchange duration: 200
Exchange duration: 240
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
